year,1. 農林水産業,2. 鉱業,3. 製造業-1. 食料品,3. 製造業-2. 繊維製品,3. 製造業-3. パルプ・紙・紙加工品,3. 製造業-4. 化学,3. 製造業-5. 石油・石炭製品,3. 製造業-6. 窯業・土石製品,3. 製造業-7. 一次金属,3. 製造業-8. 金属製品,3. 製造業-9. はん用・生産用・業務用機械,3. 製造業-10. 電子部品・デバイス,3. 製造業-11. 電気機械,3. 製造業-12. 情報・通信機器,3. 製造業-13. 輸送用機械,3. 製造業-14. その他の製造業,4. 電気・ガス・水道・廃棄物処理業,5. 建設業,6. 卸売・小売業,7. 運輸・郵便業,8. 宿泊・飲食サービス業,9. 情報通信業,10. 金融・保険業,11. 不動産業,12. 専門・科学技術、業務支援サービス業,13. 公務,14. 教育,15. 保健衛生・社会事業,16. その他のサービス
1994,9667.1,843.3,13140.2,5066.4,3264.1,10737.6,5716.7,4716,7888,6827.3,13231.7,5428.5,9067.8,7726.5,12347.4,14749.8,15445.3,40344.6,69163.7,27535.2,15645.4,16046,27256.7,52468,23099.9,23759,18328.9,20455.3,27770.3
1995,8580.7,840.1,13097.8,4835.9,3448.6,11083.2,5449.8,4688.6,8306.3,6863.8,14044,6146.5,9484.9,7752.5,12612.8,14617.3,16124.5,39602.7,71757.3,28762.7,15862.5,17234.4,26480.5,53597,23464.8,24499.1,18857.4,21881,27330.1
1996,8855.7,837.9,13138.4,4500.7,3488.5,11099.3,6046.7,4744.5,8174.8,7111.8,14957.7,6142.7,9313.5,8576.5,13234.8,14583.6,16466,41205.2,72018.1,27349.3,16363.7,19718.5,28204,54763,24957.8,25204.6,19233.2,23223.6,27320.7
1997,8304.9,781.3,13369.4,4245.8,3404.8,11274,6378.2,4687.5,8458.7,7110.5,15678,6687.7,9384,8541.6,13092.6,14607.8,17443.9,39272.2,74525.3,27402.2,17201,21532.7,28479,56074.9,26100.9,26045.4,19594.2,24233.4,27617.5
1998,8601.6,716.4,13773.5,4003,3281.4,10799.9,5969.3,4303.4,7073.8,6632.5,15010.1,6417.8,8771.9,8317.4,13836.9,14327,17881.6,37950.7,72076.6,26576.7,17304.9,23377.7,27083,56219.4,26820.8,26442.4,19703,25097.3,27506.9
1999,8322.7,627.4,14238.5,3466,3117.8,11067.6,5717.6,4012.4,6944.4,6181.7,13897.6,6951.8,8178.1,7833.5,13197.4,13493.1,17909.8,36754,71556.8,26093.8,17211.5,24072.4,26535.7,56645.5,26540.9,26424.2,19603.4,25771.1,27082.1
2000,8127,611.3,14176.6,3137.1,3294.9,10810.4,5512.6,4042.9,7652.8,6162.8,14479.1,8107.9,8481.4,8027.9,12743,13583.6,17563.4,35695.7,69785,26123,16660.1,25182.4,26787.9,57855.2,29333.7,26972.5,19499,27245,28042.6
2001,7270.4,601.3,14105.4,2637.1,3057.4,10567.6,5519.1,3873.3,6933.4,5934.7,13659.2,5985.8,7702.9,6568.7,13137.1,12602.1,17813.8,34014,70173.3,26123.3,16315.3,26072,29176.6,57354.7,29675.2,27135.7,19541.8,28445.6,26547.1
2002,7219.4,520.5,13835.7,2360.6,2761.3,10642.6,5678.3,3538.3,6186.8,5476.3,12305,6116.7,6854.7,5876.2,14942.7,12069.1,17388.4,31958,69503.9,26233.1,16167.3,26498.9,31343.6,56943.6,29673.4,27196.1,19594.8,28403.4,26833.4
2003,6806.5,492.8,13737.8,2187,2780.1,10782.2,5238.1,3477.2,6640.8,5462.2,12836.5,6809.4,7055.8,6045.1,14636.9,11910.2,16763.3,30748.8,69311,26473.1,15654.9,26771.5,32423.3,57070,30289.7,26956.5,19243.7,29038.8,26814.2
