階層,人数,業種,年,総額
100万円以下,104527,建設業,2023,114922
200万円以下,332473,建設業,2023,230109
300万円以下,1058898,建設業,2023,412567
400万円以下,2244542,建設業,2023,631680
500万円以下,3384307,建設業,2023,754255
600万円以下,3171467,建設業,2023,578519
700万円以下,2242147,建設業,2023,346636
800万円以下,1908855,建設業,2023,255657
900万円以下,1412221,建設業,2023,166772
"1,000万円以下",1087005,建設業,2023,114576
"1,500万円以下",2658557,建設業,2023,223406
"2,000万円以下",831082,建設業,2023,48219
"2,500万円以下",360260,建設業,2023,16169
"2,500万円超",618250,建設業,2023,16198
100万円以下,101163,建設業,2022,112762
200万円以下,407994,建設業,2022,279022
300万円以下,1125612,建設業,2022,437292
400万円以下,2442159,建設業,2022,689203
500万円以下,3364246,建設業,2022,748304
600万円以下,3372369,建設業,2022,612773
700万円以下,2378727,建設業,2022,367345
800万円以下,1887846,建設業,2022,253587
900万円以下,1353879,建設業,2022,159429
"1,000万円以下",1066261,建設業,2022,112465
"1,500万円以下",2463389,建設業,2022,207823
"2,000万円以下",663562,建設業,2022,38301
"2,500万円以下",233590,建設業,2022,10388
"2,500万円超",522792,建設業,2022,12773
100万円以下,125475,建設業,2021,140127
200万円以下,468944,建設業,2021,323333
300万円以下,1189110,建設業,2021,462663
400万円以下,2417469,建設業,2021,682174
500万円以下,3313278,建設業,2021,738056
600万円以下,3130537,建設業,2021,568090
700万円以下,2270320,建設業,2021,350861
800万円以下,1998702,建設業,2021,267583
900万円以下,1492742,建設業,2021,176045
"1,000万円以下",1015448,建設業,2021,107476
"1,500万円以下",2477574,建設業,2021,209471
"2,000万円以下",582991,建設業,2021,34018
"2,500万円以下",246298,建設業,2021,11058
"2,500万円超",511066,建設業,2021,12964
100万円以下,132047,建設業,2020,146638
200万円以下,481620,建設業,2020,328810
300万円以下,1337073,建設業,2020,521318
400万円以下,2573388,建設業,2020,729861
500万円以下,3334233,建設業,2020,743045
600万円以下,3031441,建設業,2020,552137
700万円以下,2328009,建設業,2020,359548
800万円以下,1910884,建設業,2020,255826
900万円以下,1384977,建設業,2020,162583
"1,000万円以下",1070184,建設業,2020,112692
"1,500万円以下",2752776,建設業,2020,233524
"2,000万円以下",556972,建設業,2020,33228
"2,500万円以下",245720,建設業,2020,11053
"2,500万円超",544185,建設業,2020,13666
100万円以下,126922,建設業,2019,142495
200万円以下,475785,建設業,2019,324356
