year,100万円以下,200万円以下,300万円以下,400万円以下,500万円以下,600万円以下,700万円以下,800万円以下,900万円以下,"1,000万円以下","1,500万円以下","2,000万円以下","2,500万円以下","2,500万円超"
2007,2976253,9774883,18141414,26596684,28281083,24075987,18980029,15399329,11692686,8684636,20445049,6447868,2535496,4558166
2008,3130627,9995658,18983317,27221422,28189476,23822184,18186465,14827661,11409451,8285587,19583583,6120358,2349992,4961241
2009,3246029,10273527,19955665,28448877,27544561,22354126,15932477,12633373,9725494,6736320,15388173,4598153,1880834,4156901
2010,2934294,10082437,20192614,28766640,29187320,23439986,16791261,13379913,9829751,7019981,15288474,4763058,1898133,3971655
2011,3192918,9938648,20063347,29299563,28640137,23068078,16667263,13124264,9776448,6901714,15747515,4708741,1806651,3810628
2012,3191408,10218880,19658748,28682472,28329568,23430868,16850379,13508096,9725830,7338079,15250067,4489622,2025066,3151736
2013,3434586,10223199,19721683,28348570,28625450,24503022,17662646,14022381,10396739,7291518,16134874,5021901,2000341,4762930
2014,3191508,9733524,18492351,26701607,27972549,23536887,17667210,13779637,10546193,7756285,17782230,5167457,1959590,4199901
2015,3274736,9886309,18175347,27348091,28432255,24074062,17852016,14183707,10960127,8061611,18208326,5650542,2043881,4545751
2016,3273514,9720675,18508068,27514443,28978415,24254537,18057196,14532314,11201484,8587942,17970690,5636495,2155922,4461644
2017,3256828,9252958,18802993,28983333,31221318,26088362,19612045,15600480,11692631,8656153,19315382,5684466,2359210,5108280
2018,3186789,9422378,17948021,28709125,31590443,26860695,20563882,15749557,11867971,8445295,20600540,6345459,2438820,5516401
2019,3526265,10117263,18881672,29222364,32243419,27767966,21099275,16703896,12611719,9326986,21844722,7563352,2565493,5675594
2020,3489544,9956555,19457592,30134054,32487714,28265519,21565093,17144724,12221853,9059034,21040898,6445429,2486299,5529989
2021,3416274,9724820,18914684,30756607,34182922,29622194,22724918,18289131,13024647,9461383,22449553,7410502,2825198,6187764
2022,3205830,9231513,18163784,29518469,34854572,30198550,22666940,18206378,14191231,10568775,23744461,7435409,2904732,7456237
2023,3331074,8904147,17895708,28991271,34994460,30153194,23413649,18579196,13898013,11295174,24014447,7785204,3174050,6835335
