年次,総需要量,製材用合計,合板用合計,パルプ・チップ用合計,その他用合計,しいたけ原木合計,燃料材合計,国内生産_製材用,国内生産_合板用,国内生産_パルプ・チップ用,国内生産_その他用,国内生産_しいたけ原木,国内生産_燃料材,輸入_製材用,輸入_合板用,輸入_パルプ・チップ用,輸入_その他用,輸入_しいたけ原木
昭.30(1955),65206,45278,30295,2297,8285,4401,…,42794,30080,444,7882,4388,…,2484,215,1853,403,13
昭.31(1956),68209,48515,32271,2776,8811,4657,…,45238,31989,461,8152,4636,…,3277,282,2315,659,21
昭.32(1957),71304,51214,32505,2680,10917,5112,…,47713,32068,518,10056,5071,…,3501,437,2162,861,41
昭.33(1958),65085,48011,32298,2584,8253,4876,…,43794,30393,559,7969,4873,…,4217,1905,2025,284,3
昭.34(1959),65912,51124,33712,3094,9181,5137,…,45438,31192,507,8694,5045,…,5686,2520,2587,487,92
昭.35(1960),71467,56547,37789,3178,10189,5391,…,49006,33817,553,9363,5273,…,7541,3972,2625,826,118
昭.36(1961),74142,61565,40891,3365,11834,5475,…,50816,34360,508,10671,5277,…,10749,6531,2857,1163,198
昭.37(1962),75148,63956,41964,4090,12805,5097,…,50802,33884,605,11469,4844,…,13154,8080,3485,1336,253
昭.38(1963),77167,67761,44424,4352,14615,4370,…,51119,33964,594,12362,4199,…,16642,10460,3758,2253,171
昭.39(1964),78998,70828,46751,4943,15053,4081,…,51660,34470,596,12620,3974,…,19168,12281,4347,2433,107
昭.40(1965),76798,70530,47084,5187,14335,3924,…,50375,34124,618,11822,3811,…,20155,12960,4569,2513,113
昭.41(1966),82470,76876,50373,6257,16375,3871,…,51835,34450,717,12931,3737,…,25041,15923,5540,3444,134
昭.42(1967),92100,85947,55398,7476,19375,3698,1325,52741,33572,692,14977,3500,1325,33206,21826,6784,4398,198
昭.43(1968),97238,91806,58981,8912,20225,3688,1455,48963,31301,751,13630,3281,1455,42843,27680,8161,6595,407
