年次,総需要量,国内生産,輸入,全体自給率,製材用合計,合板用合計,パルプ・チップ用合計,その他用合計,しいたけ原木合計,燃料材合計,製材用自給率,合板用自給率,パルプ用自給率,その他用自給率,しいたけ自給率,燃料材自給率
1955,65206,62687,2519,96.1,30295,2297,8285,4401,,19928,99.3,19.3,95.1,99.7,,99.8
1956,68209,64881,3328,95.1,32271,2776,8811,4657,,19694,99.1,16.6,92.5,99.5,,99.7
1957,71304,67753,3551,95.0,32505,2680,10917,5112,,20090,98.7,19.3,92.1,99.2,,99.8
1958,65085,60817,4268,93.4,32298,2584,8253,4876,,17074,94.1,21.6,96.6,99.9,,99.7
1959,65912,60206,5706,91.3,33712,3094,9181,5137,,14788,92.5,16.4,94.7,98.2,,99.9
1960,71467,63762,7705,89.2,37789,3178,10189,5391,,14920,89.5,17.4,91.9,97.8,,98.9
1961,74142,63345,10797,85.4,40891,3365,11834,5475,,12577,84.0,15.1,90.2,96.4,,99.6
1962,75148,61939,13209,82.4,41964,4090,12805,5097,,11192,80.7,14.8,89.6,95.0,,99.5
1963,77167,60498,16669,78.4,44424,4352,14615,4370,,9406,76.5,13.6,84.6,96.1,,99.7
1964,78998,59813,19185,75.7,46751,4943,15053,4081,,8170,73.7,12.1,83.8,97.4,,99.8
1965,76798,56616,20182,73.7,47084,5187,14335,3924,,6268,72.5,11.9,82.5,97.1,,99.6
1966,82470,57334,25136,69.5,50373,6257,16375,3871,,5594,68.4,11.5,79.0,96.5,,98.3
1967,92100,58782,33318,63.8,55398,7476,19375,3698,1325.0,4828,60.6,9.3,77.3,94.6,100.0,97.7
1968,97238,54319,42919,55.9,58981,8912,20225,3688,1455.0,3977,53.1,8.4,67.4,89.0,100.0,98.1
1969,99870,51040,48830,51.1,59534,10597,22122,3317,1485.0,2815,48.5,7.5,65.0,82.9,100.0,97.3
1970,106601,49780,56821,46.7,62009,13059,24887,2724,1574.0,2348,44.1,6.0,63.2,86.8,100.0,83.7
1971,105525,49468,56057,46.9,59801,13362,25715,2527,1794.0,2326,44.0,6.4,64.7,84.8,100.0,73.4
1972,110497,47143,63354,42.7,63613,14309,26202,2380,1899.0,2094,41.6,6.2,56.1,80.8,100.0,62.2
1973,121020,45021,75999,37.2,67470,17151,30415,2545,1881.0,1558,38.7,4.7,44.1,73.5,100.0,59.8
1974,116426,42153,74273,36.2,60734,14481,34957,2868,1850.0,1536,36.9,5.5,41.6,60.6,100.0,54.0
1975,99303,37113,62190,37.4,55341,11173,27298,2557,1802.0,1132,37.9,5.5,41.9,60.7,100.0,64.8
1976,105535,38196,67339,36.2,57394,12939,29639,2637,1840.0,1086,37.2,5.1,41.1,59.0,100.0,54.9
1977,104861,36701,68160,35.0,56564,12717,29841,2732,1957.0,1050,36.3,5.2,38.6,55.6,100.0,48.9
1978,106344,34979,71365,32.9,57560,13585,29597,2675,2035.0,892,35.6,4.4,33.9,53.6,100.0,43.3
1979,112839,36281,76558,32.2,60314,13915,32137,3420,2116.0,937,35.6,4.3,32.1,41.3,100.0,40.7
1980,112211,36961,75250,32.9,56713,12840,35868,3543,2047.0,1200,36.9,4.0,32.9,36.7,100.0,29.8
1981,94586,33983,60603,35.9,48718,11086,29056,2969,1966.0,791,40.1,4.1,35.9,40.8,100.0,48.7
1982,92933,34371,58562,37.0,47862,10499,28279,3517,1852.0,924,41.7,4.2,37.6,32.0,100.0,39.5
1983,93707,34600,59107,36.9,45990,10849,30584,3738,1936.0,610,42.2,4.1,37.4,28.0,100.0,57.0
